timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703003388460,4488,GET MAIN PAGE,200,OK,Thread Group 1-1,text,true,,235186,122,10,10,http://35.223.158.173:30007/,3778,0,146
1703003388722,5730,GET MAIN PAGE,200,OK,Thread Group 1-2,text,true,,235186,122,10,10,http://35.223.158.173:30007/,4768,0,137
1703003389022,6677,GET MAIN PAGE,200,OK,Thread Group 1-3,text,true,,235186,122,10,10,http://35.223.158.173:30007/,5947,0,137
1703003389320,7125,GET MAIN PAGE,200,OK,Thread Group 1-4,text,true,,235186,122,10,10,http://35.223.158.173:30007/,6411,0,138
1703003389622,8827,GET MAIN PAGE,200,OK,Thread Group 1-5,text,true,,235186,122,10,10,http://35.223.158.173:30007/,8086,0,127
1703003389916,12784,GET MAIN PAGE,200,OK,Thread Group 1-6,text,true,,235186,122,10,10,http://35.223.158.173:30007/,12047,0,136
1703003390221,13231,GET MAIN PAGE,200,OK,Thread Group 1-7,text,true,,235186,122,10,10,http://35.223.158.173:30007/,12498,0,227
1703003390518,13682,GET MAIN PAGE,200,OK,Thread Group 1-8,text,true,,235186,122,10,10,http://35.223.158.173:30007/,12977,0,175
1703003390821,15385,GET MAIN PAGE,200,OK,Thread Group 1-9,text,true,,235186,122,10,10,http://35.223.158.173:30007/,14434,0,131
1703003391122,16330,GET MAIN PAGE,200,OK,Thread Group 1-10,text,true,,235186,122,10,10,http://35.223.158.173:30007/,15601,0,127
1703003392952,15313,GET LOGIN PAGE,200,OK,Thread Group 1-1,text,true,,47144,127,10,10,http://35.223.158.173:30007/login,14776,0,242
1703003394453,14997,GET LOGIN PAGE,200,OK,Thread Group 1-2,text,true,,47144,127,10,10,http://35.223.158.173:30007/login,14557,0,241
1703003395700,14998,GET LOGIN PAGE,200,OK,Thread Group 1-3,text,true,,47144,127,10,10,http://35.223.158.173:30007/login,14513,0,135
1703003396446,14752,GET LOGIN PAGE,200,OK,Thread Group 1-4,text,true,,47144,127,10,10,http://35.223.158.173:30007/login,14266,0,247
1703003398450,14747,GET LOGIN PAGE,200,OK,Thread Group 1-5,text,true,,47144,127,10,10,http://35.223.158.173:30007/login,14289,0,246
1703003402706,12493,GET LOGIN PAGE,200,OK,Thread Group 1-6,text,true,,47144,127,10,10,http://35.223.158.173:30007/login,11996,0,139
1703003403453,12247,GET LOGIN PAGE,200,OK,Thread Group 1-7,text,true,,47144,127,10,10,http://35.223.158.173:30007/login,11758,0,135
1703003404201,11997,GET LOGIN PAGE,200,OK,Thread Group 1-8,text,true,,47144,127,10,10,http://35.223.158.173:30007/login,11515,0,247
1703003406207,12242,GET LOGIN PAGE,200,OK,Thread Group 1-9,text,true,,47144,127,10,10,http://35.223.158.173:30007/login,11804,0,242
1703003407454,11994,GET LOGIN PAGE,200,OK,Thread Group 1-10,text,true,,47144,127,10,10,http://35.223.158.173:30007/login,11501,0,242
1703003408266,11691,POST LOGIN,419,unknown status,Thread Group 1-1,text,false,,7323,246,10,10,http://35.223.158.173:30007/login,11691,0,183
1703003409451,11023,POST LOGIN,419,unknown status,Thread Group 1-2,text,false,,7323,246,10,10,http://35.223.158.173:30007/login,11022,0,245
1703003410699,12250,POST LOGIN,419,unknown status,Thread Group 1-3,text,false,,7323,246,10,10,http://35.223.158.173:30007/login,12063,0,250
1703003411199,12264,POST LOGIN,419,unknown status,Thread Group 1-4,text,false,,7323,246,10,10,http://35.223.158.173:30007/login,12264,0,248
1703003413197,12056,POST LOGIN,419,unknown status,Thread Group 1-5,text,false,,7323,246,10,10,http://35.223.158.173:30007/login,12055,0,252
1703003415200,12037,POST LOGIN,419,unknown status,Thread Group 1-6,text,false,,7323,246,10,10,http://35.223.158.173:30007/login,12036,0,246
1703003415701,12029,POST LOGIN,419,unknown status,Thread Group 1-7,text,false,,7323,246,10,10,http://35.223.158.173:30007/login,12029,0,247
1703003416199,12033,POST LOGIN,419,unknown status,Thread Group 1-8,text,false,,7323,246,10,10,http://35.223.158.173:30007/login,12032,0,247
1703003418450,13022,POST LOGIN,419,unknown status,Thread Group 1-9,text,false,,7323,246,10,10,http://35.223.158.173:30007/login,13021,0,248
1703003419449,14760,POST LOGIN,419,unknown status,Thread Group 1-10,text,false,,7323,246,10,10,http://35.223.158.173:30007/login,14759,0,246
1703003419960,15989,GET user/testing,200,OK,Thread Group 1-1,text,true,,64610,134,10,10,http://35.223.158.173:30007/user/testing,15543,0,236
1703003420475,16479,GET user/testing,200,OK,Thread Group 1-2,text,true,,64610,134,10,10,http://35.223.158.173:30007/user/testing,16024,0,225
