Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python, 2to3, -1,38.221069335937500000, 34.417236328125000000,  ,  , 1873, 69.2, 43916
Python, 2to3, -1,39.020812988281250000, 35.298156738281250000,  ,  , 1838, 69.0, 43792
Python, 2to3, -1,39.949890136718750000, 36.368835449218750000,  ,  , 1820, 70.8, 44048
Python, 2to3, -1,39.174865722656250000, 35.675170898437500000,  ,  , 1820, 67.8, 43916
Python, 2to3, -1,39.262939453125000000, 35.701110839843750000,  ,  , 1824, 69.5, 44172
Python, 2to3, -1,40.407958984375000000, 36.780212402343750000,  ,  , 1820, 71.8, 44040
Python, 2to3, -1,40.252380371093750000, 36.575561523437500000,  ,  , 1828, 69.2, 43920
Python, 2to3, -1,40.985656738281250000, 37.323364257812500000,  ,  , 1813, 70.2, 43928
Python, 2to3, -1,41.291137695312500000, 37.639099121093750000,  ,  , 1801, 67.0, 43924
Python, 2to3, -1,39.836303710937500000, 36.272216796875000000,  ,  , 1820, 68.8, 44048
