Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python, django_template, -1,41.267456054687500000, 37.660949707031250000,  ,  , 1853, 70.2, 44064
Python, django_template, -1,41.595703125000000000, 38.107849121093750000,  ,  , 1847, 66.2, 44192
Python, django_template, -1,41.715087890625000000, 38.251831054687500000,  ,  , 1827, 69.8, 44320
Python, django_template, -1,42.631530761718750000, 39.087280273437500000,  ,  , 1821, 67.8, 44320
Python, django_template, -1,42.734680175781250000, 39.202941894531250000,  ,  , 1818, 66.0, 44316
Python, django_template, -1,42.924926757812500000, 39.342163085937500000,  ,  , 1822, 67.5, 44196
Python, django_template, -1,43.658630371093750000, 40.063232421875000000,  ,  , 1808, 68.0, 44060
Python, django_template, -1,41.253601074218750000, 37.717529296875000000,  ,  , 1844, 65.8, 43936
Python, django_template, -1,42.091491699218750000, 38.683715820312500000,  ,  , 1813, 68.0, 44192
Python, django_template, -1,40.528625488281250000, 36.932434082031250000,  ,  , 1866, 67.5, 44064
