Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, h2, -1,616.257202148437500000, 539.911254882812500000,  ,  , 31202, 57.2, 2071988
Java, h2, -1,629.923095703125000000, 554.132263183593750000,  ,  , 31024, 57.0, 2004780
Java, h2, -1,597.955810546875000000, 521.992431640625000000,  ,  , 31034, 57.8, 2258200
Java, h2, -1,626.008300781250000000, 549.379699707031250000,  ,  , 31529, 58.2, 2311912
Java, h2, -1,623.679626464843750000, 548.218505859375000000,  ,  , 31249, 57.0, 2243104
Java, h2, -1,623.240844726562500000, 547.883850097656250000,  ,  , 30685, 58.0, 2358980
Java, h2, -1,620.157409667968750000, 544.073242187500000000,  ,  , 31310, 57.5, 2102368
Java, h2, -1,607.751403808593750000, 531.169799804687500000,  ,  , 31300, 57.5, 2307612
Java, h2, -1,604.423095703125000000, 530.993530273437500000,  ,  , 30419, 58.2, 2329540
Java, h2, -1,639.396789550781250000, 562.149291992187500000,  ,  , 31560, 61.0, 1974464
