Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Haskell, imaginary, 47,0.028320312500000000, 0.021118164062500000,  ,  , 5, 53.2, 768
Haskell, imaginary, 47,0.031188964843750000, 0.024719238281250000,  ,  , 4, 53.2, 768
Haskell, imaginary, 47,0.034606933593750000, 0.024047851562500000,  ,  , 4, 53.2, 768
Haskell, imaginary, 47,0.043518066406250000, 0.031616210937500000,  ,  , 4, 53.2, 768
Haskell, imaginary, 47,0.039733886718750000, 0.027160644531250000,  ,  , 4, 53.2, 768
Haskell, imaginary, 47,0.067626953125000000, 0.037719726562500000,  ,  , 4, 53.2, 768
Haskell, imaginary, 47,0.028076171875000000, 0.019836425781250000,  ,  , 3, 53.2, 768
Haskell, imaginary, 47,0.042785644531250000, 0.029296875000000000,  ,  , 4, 53.2, 768
Haskell, imaginary, 47,0.029846191406250000, 0.020385742187500000,  ,  , 4, 53.2, 768
Haskell, imaginary, 47,0.035827636718750000, 0.025512695312500000,  ,  , 5, 47.2, 768
