Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, jython, -1,296.176513671875000000, 274.501708984375000000,  ,  , 9740, 57.8, 691148
Java, jython, -1,289.266052246093750000, 267.050048828125000000,  ,  , 9981, 58.0, 581104
Java, jython, -1,266.472961425781250000, 242.688110351562500000,  ,  , 10748, 57.8, 567292
Java, jython, -1,247.732421875000000000, 223.713134765625000000,  ,  , 10847, 57.0, 590668
Java, jython, -1,246.653930664062500000, 221.608459472656250000,  ,  , 11241, 59.8, 578868
Java, jython, -1,237.877258300781250000, 213.061401367187500000,  ,  , 11223, 59.8, 645088
Java, jython, -1,247.554809570312500000, 223.295349121093750000,  ,  , 11001, 59.0, 517908
Java, jython, -1,245.281005859375000000, 220.864379882812500000,  ,  , 10848, 58.5, 625564
Java, jython, -1,264.269714355468750000, 237.914916992187500000,  ,  , 12190, 58.8, 592360
Java, jython, -1,256.636535644531250000, 231.779724121093750000,  ,  , 11047, 58.8, 615564
