Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, lusearch, -1,320.058898925781250000, 285.684875488281250000,  ,  , 15014, 58.2, 447464
Java, lusearch, -1,333.990844726562500000, 299.274841308593750000,  ,  , 15253, 58.5, 466180
Java, lusearch, -1,311.373046875000000000, 277.933654785156250000,  ,  , 14452, 60.2, 421956
Java, lusearch, -1,311.240295410156250000, 277.823425292968750000,  ,  , 14615, 58.2, 418768
Java, lusearch, -1,312.369873046875000000, 279.240356445312500000,  ,  , 14371, 61.0, 419056
Java, lusearch, -1,327.297180175781250000, 292.230407714843750000,  ,  , 15156, 58.0, 456116
Java, lusearch, -1,311.457763671875000000, 278.050720214843750000,  ,  , 14489, 63.2, 470148
Java, lusearch, -1,324.409240722656250000, 289.864685058593750000,  ,  , 15023, 61.8, 448112
Java, lusearch, -1,318.570922851562500000, 284.218994140625000000,  ,  , 14887, 63.0, 488044
Java, lusearch, -1,317.158508300781250000, 283.071289062500000000,  ,  , 14723, 61.8, 422840
