Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, pmd, -1,200.007019042968750000, 171.910400390625000000,  ,  , 10482, 62.5, 1637596
Java, pmd, -1,195.140075683593750000, 168.255981445312500000,  ,  , 10181, 62.5, 1567920
Java, pmd, -1,195.253540039062500000, 167.947387695312500000,  ,  , 10239, 62.5, 1730264
Java, pmd, -1,196.261657714843750000, 169.518859863281250000,  ,  , 10197, 60.2, 1610680
Java, pmd, -1,200.262878417968750000, 172.529052734375000000,  ,  , 10348, 61.0, 1651856
Java, pmd, -1,196.630920410156250000, 169.485107421875000000,  ,  , 10204, 62.5, 1684392
Java, pmd, -1,195.444519042968750000, 168.354125976562500000,  ,  , 10137, 62.2, 1444904
Java, pmd, -1,203.439453125000000000, 175.632019042968750000,  ,  , 10560, 61.8, 1629460
Java, pmd, -1,198.731262207031250000, 171.402832031250000000,  ,  , 10333, 60.5, 1645740
Java, pmd, -1,198.107727050781250000, 170.780273437500000000,  ,  , 10346, 61.0, 1567364
