Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, sunflow, 25,272.293151855468750000, 237.684082031250000000,  ,  , 16096, 56.2, 388680
Java, sunflow, 25,284.961547851562500000, 248.937072753906250000,  ,  , 16525, 56.2, 381080
Java, sunflow, 25,308.247985839843750000, 270.287048339843750000,  ,  , 17531, 56.0, 369080
Java, sunflow, 25,296.954772949218750000, 259.186340332031250000,  ,  , 17148, 56.0, 387376
Java, sunflow, 25,271.242370605468750000, 237.136535644531250000,  ,  , 15856, 55.8, 366736
Java, sunflow, 25,283.214538574218750000, 247.368774414062500000,  ,  , 16391, 57.5, 384036
Java, sunflow, 25,289.372863769531250000, 252.464904785156250000,  ,  , 16835, 55.8, 385156
Java, sunflow, 25,282.353332519531250000, 245.384643554687500000,  ,  , 16331, 55.5, 372656
Java, sunflow, 25,276.186706542968750000, 239.984985351562500000,  ,  , 16110, 55.5, 378368
Java, sunflow, 25,259.825927734375000000, 225.682373046875000000,  ,  , 15321, 55.8, 417388
