Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, sunflow, -1,276.456054687500000000, 240.901184082031250000,  ,  , 16344, 61.0, 374124
Java, sunflow, -1,292.739685058593750000, 255.341613769531250000,  ,  , 17222, 60.2, 374712
Java, sunflow, -1,271.788330078125000000, 236.677551269531250000,  ,  , 15989, 60.8, 369572
Java, sunflow, -1,295.736389160156250000, 258.404113769531250000,  ,  , 17232, 60.8, 354320
Java, sunflow, -1,265.823913574218750000, 230.800415039062500000,  ,  , 15719, 58.5, 388004
Java, sunflow, -1,279.780273437500000000, 244.147216796875000000,  ,  , 16367, 58.5, 381276
Java, sunflow, -1,295.808410644531250000, 258.998779296875000000,  ,  , 16991, 58.8, 347808
Java, sunflow, -1,312.122131347656250000, 273.182189941406250000,  ,  , 17902, 58.5, 378488
Java, sunflow, -1,284.116882324218750000, 247.861633300781250000,  ,  , 16601, 58.2, 387800
Java, sunflow, -1,297.386352539062500000, 259.624816894531250000,  ,  , 17343, 58.5, 389396
