Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, tomcat, -1,581.134704589843750000, 533.844299316406250000,  ,  , 20056, 66.2, 370008
Java, tomcat, -1,596.346069335937500000, 548.637390136718750000,  ,  , 20420, 66.5, 416388
Java, tomcat, -1,595.246582031250000000, 548.535949707031250000,  ,  , 19957, 65.5, 428540
Java, tomcat, -1,625.181579589843750000, 577.825927734375000000,  ,  , 20193, 72.0, 398116
Java, tomcat, -1,612.099548339843750000, 564.816040039062500000,  ,  , 20188, 68.8, 384344
Java, tomcat, -1,603.085021972656250000, 555.110412597656250000,  ,  , 20387, 69.5, 335944
Java, tomcat, -1,607.552551269531250000, 560.235534667968750000,  ,  , 20313, 66.2, 438096
Java, tomcat, -1,591.829650878906250000, 545.369079589843750000,  ,  , 19997, 65.5, 364388
Java, tomcat, -1,580.228271484375000000, 532.282409667968750000,  ,  , 20320, 62.8, 350584
Java, tomcat, -1,568.313476562500000000, 520.015747070312500000,  ,  , 20524, 63.5, 385712
