Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, xalan, 15,145.573303222656250000, 129.350036621093750000,  ,  , 6545, 67.5, 330484
Java, xalan, 15,156.481079101562500000, 138.918212890625000000,  ,  , 6963, 63.2, 292712
Java, xalan, 15,189.122680664062500000, 167.892761230468750000,  ,  , 8209, 64.0, 313744
Java, xalan, 15,185.440429687500000000, 165.921691894531250000,  ,  , 8208, 65.8, 330432
Java, xalan, 15,152.268676757812500000, 135.094787597656250000,  ,  , 6869, 66.5, 305944
Java, xalan, 15,150.347167968750000000, 133.604370117187500000,  ,  , 6816, 62.8, 300716
Java, xalan, 15,149.760253906250000000, 131.765014648437500000,  ,  , 7104, 59.2, 302344
Java, xalan, 15,140.081176757812500000, 122.198547363281250000,  ,  , 7309, 59.8, 293744
Java, xalan, 15,171.487060546875000000, 150.547546386718750000,  ,  , 8813, 58.0, 385676
Java, xalan, 15,168.724304199218750000, 148.106201171875000000,  ,  , 8525, 58.5, 325480
