Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, zxing, -1,204.723327636718750000, 185.284912109375000000,  ,  , 8905, 59.0, 510452
Java, zxing, -1,187.280700683593750000, 165.768249511718750000,  ,  , 9763, 60.8, 428532
Java, zxing, -1,170.493164062500000000, 151.266723632812500000,  ,  , 8903, 62.2, 323048
Java, zxing, -1,165.840209960937500000, 147.714599609375000000,  ,  , 8654, 63.5, 283916
Java, zxing, -1,170.052124023437500000, 151.130371093750000000,  ,  , 8863, 63.8, 330812
Java, zxing, -1,196.509765625000000000, 178.465087890625000000,  ,  , 8441, 63.0, 386264
Java, zxing, -1,174.295288085937500000, 154.069641113281250000,  ,  , 9266, 63.0, 427124
Java, zxing, -1,186.280029296875000000, 165.326660156250000000,  ,  , 9736, 63.5, 434820
Java, zxing, -1,172.450866699218750000, 152.928039550781250000,  ,  , 9004, 64.2, 368088
Java, zxing, -1,206.033264160156250000, 186.224426269531250000,  ,  , 9090, 61.5, 332848
