Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Haskell, gc, -1, error, error, error, error, error, error, error
Haskell, imaginary, -1,0.060180664062500000, 0.039978027343750000,  ,  , 12, 56.5, 768
Haskell, imaginary, -1,0.034606933593750000, 0.024047851562500000,  ,  , 4, 56.5, 768
Haskell, imaginary, -1,0.043518066406250000, 0.030456542968750000,  ,  , 4, 56.5, 768
Haskell, imaginary, -1,0.036376953125000000, 0.026306152343750000,  ,  , 4, 56.5, 768
Haskell, imaginary, -1,0.073730468750000000, 0.039978027343750000,  ,  , 4, 56.5, 768
Haskell, imaginary, -1,0.028869628906250000, 0.021362304687500000,  ,  , 4, 56.5, 768
Haskell, imaginary, -1,0.038391113281250000, 0.028564453125000000,  ,  , 4, 56.5, 768
Haskell, imaginary, -1,0.034606933593750000, 0.024291992187500000,  ,  , 4, 56.5, 768
Haskell, imaginary, -1,0.042053222656250000, 0.031127929687500000,  ,  , 4, 56.5, 768
Haskell, imaginary, -1,0.041076660156250000, 0.029602050781250000,  ,  , 4, 56.5, 768
Haskell, parallel, -1, error, error, error, error, error, error, error
Haskell, real, -1,0.033691406250000000, 0.024230957031250000,  ,  , 4, 57.0, 768
Haskell, real, -1,0.050354003906250000, 0.031860351562500000,  ,  , 3, 57.0, 768
Haskell, real, -1,0.033752441406250000, 0.026306152343750000,  ,  , 4, 57.0, 768
Haskell, real, -1,0.042480468750000000, 0.030700683593750000,  ,  , 4, 57.0, 768
Haskell, real, -1,0.069458007812500000, 0.033996582031250000,  ,  , 4, 57.0, 768
Haskell, real, -1,0.034606933593750000, 0.026062011718750000,  ,  , 4, 48.2, 768
Haskell, real, -1,0.040344238281250000, 0.033386230468750000,  ,  , 4, 48.2, 768
Haskell, real, -1,0.035949707031250000, 0.026428222656250000,  ,  , 5, 48.2, 768
Haskell, real, -1,0.033447265625000000, 0.025512695312500000,  ,  , 4, 48.2, 768
Haskell, real, -1,0.048156738281250000, 0.036865234375000000,  ,  , 4, 48.2, 768
Haskell, shootout, -1,0.033508300781250000, 0.025268554687500000,  ,  , 4, 56.8, 768
Haskell, shootout, -1,0.033508300781250000, 0.025085449218750000,  ,  , 4, 56.8, 768
Haskell, shootout, -1,0.036743164062500000, 0.028015136718750000,  ,  , 4, 56.8, 768
Haskell, shootout, -1,0.034484863281250000, 0.025634765625000000,  ,  , 4, 56.8, 768
Haskell, shootout, -1,0.034423828125000000, 0.025268554687500000,  ,  , 4, 56.8, 768
Haskell, shootout, -1,0.038452148437500000, 0.026367187500000000,  ,  , 4, 56.8, 768
Haskell, shootout, -1,0.035583496093750000, 0.027526855468750000,  ,  , 4, 56.8, 768
Haskell, shootout, -1,0.035705566406250000, 0.026550292968750000,  ,  , 4, 56.8, 768
Haskell, shootout, -1,0.040527343750000000, 0.030639648437500000,  ,  , 4, 56.8, 768
Haskell, shootout, -1,0.040161132812500000, 0.030212402343750000,  ,  , 4, 56.8, 768
Haskell, spectral, -1, error, error, error, error, error, error, error
Haskell, spectral, -1,0.036804199218750000, 0.029479980468750000,  ,  , 5, 55.2, 768
Haskell, spectral, -1,0.033813476562500000, 0.026977539062500000,  ,  , 4, 55.2, 768
Haskell, spectral, -1,0.039855957031250000, 0.029602050781250000,  ,  , 4, 55.2, 768
Haskell, spectral, -1,0.055969238281250000, 0.035400390625000000,  ,  , 4, 55.2, 768
Haskell, spectral, -1,0.029846191406250000, 0.022277832031250000,  ,  , 4, 55.2, 768
Haskell, spectral, -1,0.033874511718750000, 0.022277832031250000,  ,  , 4, 49.5, 768
Haskell, spectral, -1,0.045471191406250000, 0.032836914062500000,  ,  , 5, 49.5, 768
Haskell, spectral, -1,0.035888671875000000, 0.026367187500000000,  ,  , 4, 49.5, 768
Haskell, spectral, -1,0.029174804687500000, 0.021362304687500000,  ,  , 4, 49.5, 768
Haskell, spectral, -1,0.032836914062500000, 0.024414062500000000,  ,  , 4, 49.5, 768
Java, avrora, -1,164.638427734375000000, 157.157592773437500000,  ,  , 3756, 67.0, 107072
Java, avrora, -1,162.655944824218750000, 155.667602539062500000,  ,  , 3721, 64.5, 104752
Java, avrora, -1,165.156677246093750000, 158.072998046875000000,  ,  , 3749, 68.2, 105712
Java, avrora, -1,164.407714843750000000, 157.001586914062500000,  ,  , 3744, 67.5, 103008
Java, avrora, -1,166.548645019531250000, 159.102478027343750000,  ,  , 3760, 66.2, 102940
Java, avrora, -1,162.111633300781250000, 154.895263671875000000,  ,  , 3819, 67.5, 98644
Java, avrora, -1,161.840881347656250000, 154.888000488281250000,  ,  , 3726, 67.5, 97212
Java, avrora, -1,163.816040039062500000, 156.810363769531250000,  ,  , 3753, 70.5, 103112
