Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, biojava, -1,179.377075195312500000, 108.557434082031250000, 0.237365722656250000, 14.367370605468750000, 10758, 56.5, 525252
Java, biojava, -1,177.209716796875000000, 106.583862304687500000, 0.227172851562500000, 14.313964843750000000, 10841, 56.5, 514420
Java, biojava, -1,179.602233886718750000, 108.128234863281250000, 0.240661621093750000, 14.334594726562500000, 10854, 55.5, 585280
Java, biojava, -1,177.679016113281250000, 107.462463378906250000, 0.232421875000000000, 14.271423339843750000, 10772, 56.0, 564788
Java, biojava, -1,178.810668945312500000, 108.149108886718750000, 0.226562500000000000, 14.270690917968750000, 10791, 56.2, 509484
Java, biojava, -1,174.856689453125000000, 105.465515136718750000, 0.247680664062500000, 14.181091308593750000, 10634, 56.2, 537676
Java, biojava, -1,179.714294433593750000, 108.435607910156250000, 0.148742675781250000, 14.349548339843750000, 10826, 57.2, 642568
Java, biojava, -1,178.546508789062500000, 107.992431640625000000, 0.229614257812500000, 14.366516113281250000, 10778, 57.8, 582500
Java, biojava, -1,179.042724609375000000, 108.000305175781250000, 0.244934082031250000, 14.334716796875000000, 10834, 56.8, 576332
Java, biojava, -1,180.040466308593750000, 108.992858886718750000, 0.238647460937500000, 14.383361816406250000, 10812, 56.5, 534072
