Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python, genshi, 15,199.310302734375000000, 118.244323730468750000, 0.255004882812500000, 10.759155273437500000, 13523, 53.2, 45888
Python, genshi, 15,199.645629882812500000, 118.288146972656250000, 0.281616210937500000, 10.733642578125000000, 13512, 53.0, 45952
Python, genshi, 15,199.799560546875000000, 118.567871093750000000, 0.267639160156250000, 10.705566406250000000, 13469, 54.0, 45976
Python, genshi, 15,199.789916992187500000, 118.437500000000000000, 0.278381347656250000, 10.785583496093750000, 13533, 53.5, 45780
Python, genshi, 15,199.881469726562500000, 118.408264160156250000, 0.290100097656250000, 10.769836425781250000, 13546, 54.2, 45984
Python, genshi, 15,199.616577148437500000, 118.243530273437500000, 0.294250488281250000, 10.723815917968750000, 13467, 55.0, 45824
Python, genshi, 15,200.319946289062500000, 118.793884277343750000, 0.283874511718750000, 10.695495605468750000, 13449, 54.5, 45924
Python, genshi, 15,200.524414062500000000, 118.850708007812500000, 0.268981933593750000, 10.709655761718750000, 13457, 55.8, 45852
Python, genshi, 15,199.707214355468750000, 118.325256347656250000, 0.254577636718750000, 10.759033203125000000, 13561, 57.5, 45844
Python, genshi, 15,200.055664062500000000, 118.540100097656250000, 0.257812500000000000, 10.751037597656250000, 13515, 54.0, 45856
