Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Haskell, imaginary/rfib, -1,53.425781250000000000, 47.579772949218750000,  ,  , 2272, 53.1, 6080
Haskell, imaginary/rfib, -1,47.475952148437500000, 42.095031738281250000,  ,  , 2182, 51.0, 6080
Haskell, imaginary/rfib, -1,48.505065917968750000, 42.915588378906250000,  ,  , 2153, 52.2, 6080
Haskell, imaginary/rfib, -1,48.598327636718750000, 43.223205566406250000,  ,  , 2127, 49.3, 6080
Haskell, imaginary/rfib, -1,48.029907226562500000, 42.686096191406250000,  ,  , 2140, 50.1, 6080
Haskell, imaginary/rfib, -1,47.769897460937500000, 42.317565917968750000,  ,  , 2169, 50.1, 6080
Haskell, imaginary/rfib, -1,48.086486816406250000, 42.905944824218750000,  ,  , 2126, 49.6, 5760
Haskell, imaginary/rfib, -1,50.303466796875000000, 44.888854980468750000,  ,  , 2238, 49.4, 6080
Haskell, imaginary/rfib, -1,49.447204589843750000, 44.296997070312500000,  ,  , 2069, 52.1, 6080
Haskell, imaginary/rfib, -1,49.717102050781250000, 44.266235351562500000,  ,  , 2170, 52.1, 6080
Haskell, imaginary/rfib, 5,27.648742675781250000, 14.568603515625000000,  ,  , 5535, 38.4, 6080
Haskell, imaginary/rfib, 5,28.309936523437500000, 14.986938476562500000,  ,  , 5676, 38.2, 5760
Haskell, imaginary/rfib, 5,28.354614257812500000, 14.891235351562500000,  ,  , 5669, 38.6, 5920
Haskell, imaginary/rfib, 5,28.696838378906250000, 14.929077148437500000,  ,  , 5760, 38.2, 5920
Haskell, imaginary/rfib, 5,28.142395019531250000, 14.817321777343750000,  ,  , 5643, 38.5, 5760
Haskell, imaginary/rfib, 5,27.580322265625000000, 15.337890625000000000,  ,  , 5532, 39.1, 5760
Haskell, imaginary/rfib, 5,27.855590820312500000, 15.052429199218750000,  ,  , 5546, 38.3, 5920
Haskell, imaginary/rfib, 5,28.325378417968750000, 15.075927734375000000,  ,  , 5675, 38.5, 5920
Haskell, imaginary/rfib, 5,28.008789062500000000, 14.833862304687500000,  ,  , 5598, 38.1, 6080
Haskell, imaginary/rfib, 5,28.014221191406250000, 15.131774902343750000,  ,  , 5616, 39.4, 6080
Haskell, imaginary/rfib, 10,31.449829101562500000, 23.836303710937500000,  ,  , 3143, 42.9, 5760
Haskell, imaginary/rfib, 10,31.511596679687500000, 23.972534179687500000,  ,  , 3135, 43.6, 5760
Haskell, imaginary/rfib, 10,31.760498046875000000, 24.222045898437500000,  ,  , 3157, 43.9, 5760
Haskell, imaginary/rfib, 10,31.588317871093750000, 23.981628417968750000,  ,  , 3144, 43.7, 6080
