Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Haskell, real/compress2, -1,68.670654296875000000, 61.062683105468750000,  ,  , 2991, 51.6, 6240
Haskell, real/compress2, -1,67.614379882812500000, 60.150146484375000000,  ,  , 2975, 49.1, 6080
Haskell, real/compress2, -1,69.914733886718750000, 62.612976074218750000,  ,  , 2953, 53.5, 6080
Haskell, real/compress2, -1,65.760375976562500000, 58.293334960937500000,  ,  , 3018, 50.9, 6080
Haskell, real/compress2, -1,66.059997558593750000, 58.580200195312500000,  ,  , 3031, 52.1, 6080
Haskell, real/compress2, -1,68.875122070312500000, 61.385986328125000000,  ,  , 2971, 49.3, 6080
Haskell, real/compress2, -1,67.922363281250000000, 60.483398437500000000,  ,  , 2987, 52.6, 6080
Haskell, real/compress2, -1,67.702087402343750000, 60.319091796875000000,  ,  , 2982, 50.8, 6080
Haskell, real/compress2, -1,67.359436035156250000, 59.925048828125000000,  ,  , 2995, 50.7, 6080
Haskell, real/compress2, -1,68.385375976562500000, 60.883544921875000000,  ,  , 2980, 53.1, 6080
Haskell, real/compress2, 5,39.398376464843750000, 20.827209472656250000,  ,  , 7870, 38.5, 5920
Haskell, real/compress2, 5,38.959655761718750000, 20.773254394531250000,  ,  , 7796, 38.6, 5920
Haskell, real/compress2, 5,39.892272949218750000, 20.755187988281250000,  ,  , 8012, 38.6, 6080
Haskell, real/compress2, 5,38.793090820312500000, 20.710205078125000000,  ,  , 7783, 38.7, 5920
Haskell, real/compress2, 5,39.232666015625000000, 20.761901855468750000,  ,  , 7870, 38.7, 5920
Haskell, real/compress2, 5,37.793823242187500000, 21.001892089843750000,  ,  , 7579, 38.9, 5920
Haskell, real/compress2, 5,39.185302734375000000, 20.825866699218750000,  ,  , 7824, 38.6, 5920
Haskell, real/compress2, 5,38.852600097656250000, 20.732116699218750000,  ,  , 7784, 38.7, 6080
Haskell, real/compress2, 5,39.235290527343750000, 20.795471191406250000,  ,  , 7847, 38.7, 5280
Haskell, real/compress2, 5,38.970764160156250000, 20.781433105468750000,  ,  , 7790, 38.5, 6080
Haskell, real/compress2, 10,44.211120605468750000, 33.462890625000000000,  ,  , 4409, 42.4, 6240
Haskell, real/compress2, 10,44.239074707031250000, 33.735473632812500000,  ,  , 4403, 42.1, 5600
Haskell, real/compress2, 10,44.257446289062500000, 33.630432128906250000,  ,  , 4409, 41.2, 5760
Haskell, real/compress2, 10,44.176635742187500000, 33.624206542968750000,  ,  , 4399, 40.6, 5920
Haskell, real/compress2, 10,44.105712890625000000, 33.778137207031250000,  ,  , 4389, 41.8, 6240
Haskell, real/compress2, 10,44.090209960937500000, 33.682556152343750000,  ,  , 4388, 42.1, 5760
Haskell, real/compress2, 10,44.231079101562500000, 33.670471191406250000,  ,  , 4399, 42.6, 6080
Haskell, real/compress2, 10,43.978576660156250000, 33.542541503906250000,  ,  , 4384, 42.9, 5920
Haskell, real/compress2, 10,43.966735839843750000, 33.843078613281250000,  ,  , 4375, 43.0, 6080
Haskell, real/compress2, 10,43.908569335937500000, 33.578247070312500000,  ,  , 4368, 44.1, 6080
Haskell, real/compress2, 35,65.683166503906250000, 58.053283691406250000,  ,  , 3024, 50.7, 6080
Haskell, real/compress2, 35,68.774291992187500000, 61.402526855468750000,  ,  , 2977, 52.8, 6080
Haskell, real/compress2, 35,67.134704589843750000, 59.722839355468750000,  ,  , 2997, 53.3, 6080
Haskell, real/compress2, 35,67.051696777343750000, 59.835754394531250000,  ,  , 2998, 51.3, 6080
Haskell, real/compress2, 35,68.130493164062500000, 60.861389160156250000,  ,  , 2992, 50.8, 6080
Haskell, real/compress2, 35,64.306762695312500000, 56.687011718750000000,  ,  , 3048, 50.7, 6080
Haskell, real/compress2, 35,66.567016601562500000, 59.178466796875000000,  ,  , 3006, 50.5, 6080
Haskell, real/compress2, 35,65.615722656250000000, 58.030456542968750000,  ,  , 3027, 49.8, 6080
Haskell, real/compress2, 35,67.558227539062500000, 60.047607421875000000,  ,  , 3001, 50.1, 6080
Haskell, real/compress2, 35,68.034240722656250000, 60.493530273437500000,  ,  , 3000, 52.0, 5760
Haskell, real/compress2, 45,66.275512695312500000, 58.937927246093750000,  ,  , 3025, 50.6, 6080
Haskell, real/compress2, 45,65.110595703125000000, 58.003540039062500000,  ,  , 3022, 52.2, 6080
Haskell, real/compress2, 45,64.781066894531250000, 57.537841796875000000,  ,  , 3030, 50.8, 6080
Haskell, real/compress2, 45,67.108459472656250000, 60.035278320312500000,  ,  , 2991, 50.0, 6080
Haskell, real/compress2, 45,64.551696777343750000, 57.359619140625000000,  ,  , 3021, 51.0, 6080
Haskell, real/compress2, 45,66.542236328125000000, 59.459655761718750000,  ,  , 3011, 50.4, 6080
Haskell, real/compress2, 45,63.971313476562500000, 56.923095703125000000,  ,  , 3053, 51.1, 6240
Haskell, real/compress2, 45,67.421264648437500000, 60.426208496093750000,  ,  , 2978, 53.0, 6080
Haskell, real/compress2, 45,66.423828125000000000, 59.183593750000000000,  ,  , 3002, 51.2, 6080
Haskell, real/compress2, 45,67.680786132812500000, 60.638977050781250000,  ,  , 2982, 52.3, 6080
Haskell, real/compress2, 115,65.436462402343750000, 58.150329589843750000,  ,  , 3030, 53.2, 6080
Haskell, real/compress2, 115,64.980895996093750000, 57.846435546875000000,  ,  , 3020, 50.9, 6080
Haskell, real/compress2, 115,65.275634765625000000, 58.115478515625000000,  ,  , 3017, 52.4, 5760
Haskell, real/compress2, 115,65.953430175781250000, 58.845092773437500000,  ,  , 3007, 52.4, 6080
Haskell, real/compress2, 115,64.315917968750000000, 57.058898925781250000,  ,  , 3028, 51.5, 6080
Haskell, real/compress2, 115,62.781372070312500000, 55.592590332031250000,  ,  , 3064, 50.9, 6080
Haskell, real/compress2, 115,64.418518066406250000, 57.277404785156250000,  ,  , 3039, 51.1, 6080
Haskell, real/compress2, 115,67.092468261718750000, 60.028808593750000000,  ,  , 2988, 52.9, 6080
Haskell, real/compress2, 115,65.245971679687500000, 58.094543457031250000,  ,  , 3028, 50.1, 6080
Haskell, real/compress2, 115,65.912719726562500000, 58.753845214843750000,  ,  , 3006, 52.8, 6080
