Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Haskell, shootout/fannkuch-redux, -1,136.489196777343750000, 109.858703613281250000,  ,  , 11736, 42.2, 6080
Haskell, shootout/fannkuch-redux, -1,143.047485351562500000, 118.090698242187500000,  ,  , 10946, 43.6, 6080
Haskell, shootout/fannkuch-redux, -1,147.846435546875000000, 124.565856933593750000,  ,  , 10243, 44.3, 5920
Haskell, shootout/fannkuch-redux, -1,154.348327636718750000, 132.159057617187500000,  ,  , 9830, 48.1, 6080
Haskell, shootout/fannkuch-redux, -1,195.075622558593750000, 173.410522460937500000,  ,  , 9206, 51.0, 6080
Haskell, shootout/fannkuch-redux, -1,188.606140136718750000, 166.779724121093750000,  ,  , 9277, 51.3, 5760
Haskell, shootout/fannkuch-redux, -1,189.716979980468750000, 167.962402343750000000,  ,  , 9278, 49.5, 6080
Haskell, shootout/fannkuch-redux, -1,183.689086914062500000, 161.761901855468750000,  ,  , 9358, 50.5, 6240
Haskell, shootout/fannkuch-redux, -1,187.207641601562500000, 165.368286132812500000,  ,  , 9295, 50.8, 6080
Haskell, shootout/fannkuch-redux, -1,183.925170898437500000, 161.702087402343750000,  ,  , 9369, 50.0, 6080
Haskell, shootout/fannkuch-redux, 5,111.656982421875000000, 62.594360351562500000,  ,  , 22318, 38.6, 5760
Haskell, shootout/fannkuch-redux, 5,111.972473144531250000, 62.243591308593750000,  ,  , 22376, 38.4, 6080
Haskell, shootout/fannkuch-redux, 5,112.183715820312500000, 62.373596191406250000,  ,  , 22460, 39.5, 5920
Haskell, shootout/fannkuch-redux, 5,109.477539062500000000, 62.941589355468750000,  ,  , 21936, 38.8, 5920
Haskell, shootout/fannkuch-redux, 5,112.469604492187500000, 62.344726562500000000,  ,  , 22491, 39.5, 6080
Haskell, shootout/fannkuch-redux, 5,111.728454589843750000, 62.259033203125000000,  ,  , 22350, 39.5, 5920
Haskell, shootout/fannkuch-redux, 5,109.465332031250000000, 62.753967285156250000,  ,  , 21897, 38.4, 6240
Haskell, shootout/fannkuch-redux, 5,112.006042480468750000, 62.569335937500000000,  ,  , 22413, 38.6, 6080
Haskell, shootout/fannkuch-redux, 5,112.158325195312500000, 62.356323242187500000,  ,  , 22445, 39.0, 5920
Haskell, shootout/fannkuch-redux, 5,109.421142578125000000, 62.898132324218750000,  ,  , 21906, 39.4, 6240
Haskell, shootout/fannkuch-redux, 10,129.784118652343750000, 99.976257324218750000,  ,  , 12962, 42.3, 5760
Haskell, shootout/fannkuch-redux, 10,129.464050292968750000, 99.979248046875000000,  ,  , 12930, 41.4, 5920
Haskell, shootout/fannkuch-redux, 10,128.915954589843750000, 100.201721191406250000,  ,  , 12880, 42.6, 6080
Haskell, shootout/fannkuch-redux, 10,129.087463378906250000, 100.046752929687500000,  ,  , 12896, 44.2, 5920
Haskell, shootout/fannkuch-redux, 10,129.708557128906250000, 100.182983398437500000,  ,  , 12960, 44.6, 6080
Haskell, shootout/fannkuch-redux, 10,130.116516113281250000, 100.285949707031250000,  ,  , 12951, 43.0, 6080
Haskell, shootout/fannkuch-redux, 10,129.795166015625000000, 100.025939941406250000,  ,  , 12972, 42.0, 6080
Haskell, shootout/fannkuch-redux, 10,129.577270507812500000, 100.075988769531250000,  ,  , 12932, 41.4, 6080
Haskell, shootout/fannkuch-redux, 10,129.292907714843750000, 100.007263183593750000,  ,  , 12902, 42.4, 6080
Haskell, shootout/fannkuch-redux, 10,129.481384277343750000, 100.036621093750000000,  ,  , 12938, 44.4, 5760
Haskell, shootout/fannkuch-redux, 35,129.432861328125000000, 99.942016601562500000,  ,  , 13046, 41.9, 5760
Haskell, shootout/fannkuch-redux, 35,135.036987304687500000, 110.161682128906250000,  ,  , 11688, 42.2, 6080
Haskell, shootout/fannkuch-redux, 35,142.397949218750000000, 117.957763671875000000,  ,  , 10953, 45.4, 6240
Haskell, shootout/fannkuch-redux, 35,157.842834472656250000, 134.786254882812500000,  ,  , 10015, 47.6, 6080
