Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Haskell, shootout/spectral-norm, -1,115.858398437500000000, 103.254089355468750000,  ,  , 5269, 51.9, 6080
Haskell, shootout/spectral-norm, -1,115.377868652343750000, 102.895629882812500000,  ,  , 5292, 50.9, 5760
Haskell, shootout/spectral-norm, -1,118.731018066406250000, 106.741821289062500000,  ,  , 5095, 51.8, 6080
Haskell, shootout/spectral-norm, -1,116.815551757812500000, 104.671875000000000000,  ,  , 5189, 50.0, 6240
Haskell, shootout/spectral-norm, -1,115.583679199218750000, 103.200317382812500000,  ,  , 5263, 51.1, 6080
Haskell, shootout/spectral-norm, -1,118.190856933593750000, 106.201354980468750000,  ,  , 5072, 52.9, 6080
Haskell, shootout/spectral-norm, -1,125.996032714843750000, 111.712463378906250000,  ,  , 5377, 51.9, 6080
Haskell, shootout/spectral-norm, -1,116.120056152343750000, 103.531921386718750000,  ,  , 5289, 50.1, 6080
Haskell, shootout/spectral-norm, -1,124.549072265625000000, 111.424011230468750000,  ,  , 5592, 51.0, 6080
Haskell, shootout/spectral-norm, -1,116.611083984375000000, 104.141174316406250000,  ,  , 5193, 50.9, 6080
Haskell, shootout/spectral-norm, 5,66.396057128906250000, 36.207153320312500000,  ,  , 13281, 38.6, 5760
Haskell, shootout/spectral-norm, 5,66.935363769531250000, 36.275207519531250000,  ,  , 13391, 38.6, 6080
Haskell, shootout/spectral-norm, 5,65.347473144531250000, 36.267700195312500000,  ,  , 13069, 39.0, 6240
Haskell, shootout/spectral-norm, 5,66.396728515625000000, 36.258972167968750000,  ,  , 13262, 38.5, 5920
Haskell, shootout/spectral-norm, 5,66.785949707031250000, 36.141784667968750000,  ,  , 13379, 38.9, 5920
Haskell, shootout/spectral-norm, 5,66.911682128906250000, 36.135009765625000000,  ,  , 13415, 38.6, 6240
Haskell, shootout/spectral-norm, 5,65.808044433593750000, 36.288146972656250000,  ,  , 13195, 39.2, 5760
Haskell, shootout/spectral-norm, 5,66.766418457031250000, 36.276184082031250000,  ,  , 13324, 38.6, 6080
Haskell, shootout/spectral-norm, 5,65.940002441406250000, 36.384521484375000000,  ,  , 13208, 38.7, 6240
Haskell, shootout/spectral-norm, 5,66.139099121093750000, 36.304687500000000000,  ,  , 13228, 38.6, 6080
Haskell, shootout/spectral-norm, 10,77.063415527343750000, 59.813598632812500000,  ,  , 7571, 44.9, 6080
Haskell, shootout/spectral-norm, 10,77.031433105468750000, 59.416320800781250000,  ,  , 7610, 43.6, 6240
Haskell, shootout/spectral-norm, 10,76.748046875000000000, 58.885498046875000000,  ,  , 7652, 42.7, 5920
Haskell, shootout/spectral-norm, 10,76.404724121093750000, 58.806579589843750000,  ,  , 7623, 42.6, 5760
Haskell, shootout/spectral-norm, 10,76.409240722656250000, 58.981262207031250000,  ,  , 7638, 41.5, 6080
Haskell, shootout/spectral-norm, 10,76.315795898437500000, 58.889648437500000000,  ,  , 7618, 41.3, 6080
Haskell, shootout/spectral-norm, 10,76.356262207031250000, 59.133239746093750000,  ,  , 7606, 42.4, 6080
Haskell, shootout/spectral-norm, 10,76.046569824218750000, 58.964416503906250000,  ,  , 7605, 42.9, 5760
Haskell, shootout/spectral-norm, 10,76.257568359375000000, 58.842041015625000000,  ,  , 7614, 43.6, 6080
Haskell, shootout/spectral-norm, 10,76.546569824218750000, 58.963745117187500000,  ,  , 7634, 43.7, 6080
Haskell, shootout/spectral-norm, 35,124.918579101562500000, 111.731140136718750000,  ,  , 5628, 52.4, 6080
Haskell, shootout/spectral-norm, 35,118.778442382812500000, 106.440979003906250000,  ,  , 5340, 51.5, 6080
Haskell, shootout/spectral-norm, 35,115.977050781250000000, 103.505432128906250000,  ,  , 5250, 51.6, 5920
Haskell, shootout/spectral-norm, 35,116.916137695312500000, 104.561950683593750000,  ,  , 5200, 50.4, 6080
Haskell, shootout/spectral-norm, 35,116.118408203125000000, 103.614746093750000000,  ,  , 5245, 52.1, 6080
Haskell, shootout/spectral-norm, 35,118.557922363281250000, 105.957397460937500000,  ,  , 5319, 51.4, 6080
