Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, avrora, -1,95.388549804687500000, 86.098937988281250000,  ,  , 3352, 50.4, 118288
Java, avrora, -1,95.057006835937500000, 86.035278320312500000,  ,  , 3305, 51.4, 111336
Java, avrora, -1,94.785522460937500000, 85.811950683593750000,  ,  , 3234, 53.0, 108760
Java, avrora, -1,97.049316406250000000, 87.412902832031250000,  ,  , 3406, 54.8, 106288
Java, avrora, -1,97.835144042968750000, 87.864501953125000000,  ,  , 3427, 54.5, 116404
Java, avrora, -1,95.975097656250000000, 86.668579101562500000,  ,  , 3274, 56.6, 119176
Java, avrora, -1,97.476806640625000000, 87.499694824218750000,  ,  , 3424, 53.6, 119948
Java, avrora, -1,97.091125488281250000, 87.455078125000000000,  ,  , 3378, 56.8, 115172
Java, avrora, -1,97.725402832031250000, 88.064514160156250000,  ,  , 3348, 54.7, 115428
Java, avrora, -1,97.383911132812500000, 87.705261230468750000,  ,  , 3345, 54.4, 123324
Java, avrora, 5,76.536926269531250000, 37.369079589843750000,  ,  , 15203, 40.0, 113244
Java, avrora, 5,77.472900390625000000, 37.521423339843750000,  ,  , 15359, 40.2, 115728
Java, avrora, 5,73.132080078125000000, 36.912475585937500000,  ,  , 14438, 40.2, 110840
Java, avrora, 5,77.351196289062500000, 37.686096191406250000,  ,  , 15363, 40.1, 107952
Java, avrora, 5,77.643066406250000000, 37.669067382812500000,  ,  , 15393, 40.9, 116788
Java, avrora, 5,77.942016601562500000, 37.980224609375000000,  ,  , 15488, 41.0, 119016
Java, avrora, 5,76.243103027343750000, 37.816894531250000000,  ,  , 15125, 40.5, 112544
Java, avrora, 5,78.113281250000000000, 38.221862792968750000,  ,  , 15534, 41.0, 112464
Java, avrora, 5,78.895263671875000000, 38.524963378906250000,  ,  , 15624, 41.1, 114588
Java, avrora, 5,74.217956542968750000, 37.488891601562500000,  ,  , 14710, 41.1, 119568
Java, avrora, 10,56.411315917968750000, 41.800048828125000000,  ,  , 5714, 42.5, 113084
Java, avrora, 10,56.562194824218750000, 41.469726562500000000,  ,  , 5793, 42.7, 118152
Java, avrora, 10,56.427795410156250000, 41.814514160156250000,  ,  , 5696, 44.1, 116068
Java, avrora, 10,56.591918945312500000, 41.884521484375000000,  ,  , 5725, 44.4, 111356
Java, avrora, 10,56.255798339843750000, 41.439086914062500000,  ,  , 5713, 44.4, 116260
Java, avrora, 10,56.211975097656250000, 41.460754394531250000,  ,  , 5703, 45.5, 113596
Java, avrora, 10,56.517150878906250000, 41.786621093750000000,  ,  , 5705, 44.1, 115216
Java, avrora, 10,56.327270507812500000, 41.663208007812500000,  ,  , 5695, 43.1, 118176
Java, avrora, 10,56.002014160156250000, 41.485168457031250000,  ,  , 5741, 42.8, 114656
Java, avrora, 10,57.066833496093750000, 41.955200195312500000,  ,  , 5836, 43.0, 115160
Java, avrora, 35,95.471374511718750000, 85.678039550781250000,  ,  , 3363, 51.4, 120504
Java, avrora, 35,94.719848632812500000, 85.288879394531250000,  ,  , 3272, 54.3, 118192
Java, avrora, 35,96.914184570312500000, 86.672058105468750000,  ,  , 3379, 55.4, 111868
Java, avrora, 35,95.333923339843750000, 86.088684082031250000,  ,  , 3275, 56.5, 115788
Java, avrora, 35,96.742004394531250000, 86.877258300781250000,  ,  , 3332, 54.2, 121172
Java, avrora, 35,95.466552734375000000, 85.687377929687500000,  ,  , 3296, 55.1, 113376
Java, avrora, 35,95.692687988281250000, 86.759399414062500000,  ,  , 3347, 55.1, 117404
Java, avrora, 35,95.556518554687500000, 86.461791992187500000,  ,  , 3351, 54.0, 118216
Java, avrora, 35,96.119567871093750000, 86.842712402343750000,  ,  , 3457, 54.5, 117132
Java, avrora, 35,95.468872070312500000, 86.228027343750000000,  ,  , 3406, 54.9, 120468
Java, avrora, 45,96.352233886718750000, 87.386474609375000000,  ,  , 3363, 53.1, 108696
Java, avrora, 45,96.303405761718750000, 86.922241210937500000,  ,  , 3463, 54.1, 114640
Java, avrora, 45,97.009948730468750000, 87.573486328125000000,  ,  , 3445, 53.9, 120128
Java, avrora, 45,95.379516601562500000, 86.457641601562500000,  ,  , 3318, 54.4, 107824
Java, avrora, 45,95.754577636718750000, 86.808471679687500000,  ,  , 3281, 55.8, 115772
Java, avrora, 45,95.189758300781250000, 86.470336914062500000,  ,  , 3298, 56.8, 114328
Java, avrora, 45,96.050109863281250000, 86.714965820312500000,  ,  , 3416, 54.6, 118420
Java, avrora, 45,96.714538574218750000, 87.628234863281250000,  ,  , 3354, 55.6, 111568
Java, avrora, 45,96.692504882812500000, 87.386352539062500000,  ,  , 3390, 55.8, 113904
Java, avrora, 45,96.071594238281250000, 87.275817871093750000,  ,  , 3336, 54.2, 117276
Java, avrora, 115,96.943298339843750000, 87.263977050781250000,  ,  , 3319, 53.7, 113412
Java, avrora, 115,95.244140625000000000, 86.198242187500000000,  ,  , 3276, 55.3, 120284
Java, avrora, 115,95.443054199218750000, 86.620971679687500000,  ,  , 3312, 55.1, 110896
Java, avrora, 115,96.545349121093750000, 87.451965332031250000,  ,  , 3400, 56.1, 118320
Java, avrora, 115,96.842834472656250000, 87.586730957031250000,  ,  , 3368, 54.7, 111520
Java, avrora, 115,96.276306152343750000, 87.022338867187500000,  ,  , 3401, 55.5, 115832
Java, avrora, 115,95.877136230468750000, 86.881164550781250000,  ,  , 3354, 55.2, 107896
Java, avrora, 115,95.923217773437500000, 86.711059570312500000,  ,  , 3455, 55.3, 115448
Java, avrora, 115,96.435913085937500000, 87.151733398437500000,  ,  , 3431, 54.6, 113612
Java, avrora, 115,96.221191406250000000, 86.996276855468750000,  ,  , 3449, 55.1, 119124
