Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, eclipse, -1,677.029724121093750000, 596.701660156250000000,  ,  , 15783, 65.0, 1001200
Java, eclipse, -1,678.590637207031250000, 597.703002929687500000,  ,  , 15661, 63.1, 1023880
Java, eclipse, -1,669.982788085937500000, 589.276367187500000000,  ,  , 15817, 66.5, 1031780
Java, eclipse, -1,680.563171386718750000, 597.959228515625000000,  ,  , 15982, 65.5, 1084512
Java, eclipse, -1,667.381530761718750000, 587.391601562500000000,  ,  , 15828, 65.1, 1022652
Java, eclipse, -1,673.810607910156250000, 591.839416503906250000,  ,  , 15909, 66.5, 960364
Java, eclipse, -1,672.828247070312500000, 591.809020996093750000,  ,  , 15876, 66.3, 1262856
Java, eclipse, -1,684.154052734375000000, 600.422729492187500000,  ,  , 16179, 64.9, 1150200
Java, eclipse, -1,673.548889160156250000, 592.510131835937500000,  ,  , 15885, 64.9, 1076060
Java, eclipse, -1,671.688781738281250000, 589.827209472656250000,  ,  , 15942, 65.7, 1170624
Java, eclipse, 5,610.192810058593750000, 265.793395996093750000,  ,  , 117099, 40.4, 1182084
Java, eclipse, 5,615.221557617187500000, 270.023559570312500000,  ,  , 117774, 40.9, 1141696
Java, eclipse, 5,618.559509277343750000, 269.605041503906250000,  ,  , 119011, 40.6, 1274868
Java, eclipse, 5,609.534118652343750000, 267.125000000000000000,  ,  , 116821, 40.8, 1138896
Java, eclipse, 5,613.758361816406250000, 270.666931152343750000,  ,  , 117263, 41.2, 763728
Java, eclipse, 5,610.699401855468750000, 267.196716308593750000,  ,  , 117595, 40.1, 1331844
Java, eclipse, 5,598.471069335937500000, 261.293090820312500000,  ,  , 115171, 40.6, 999472
Java, eclipse, 5,675.988220214843750000, 299.455383300781250000,  ,  , 127049, 41.3, 1167312
Java, eclipse, 5,607.010681152343750000, 266.584838867187500000,  ,  , 117864, 40.9, 1198388
Java, eclipse, 5,617.433105468750000000, 268.275451660156250000,  ,  , 117160, 41.1, 1462228
