Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, graphchi, -1,228.600280761718750000, 198.085021972656250000,  ,  , 9167, 47.9, 1344960
Java, graphchi, -1,225.018920898437500000, 194.893066406250000000,  ,  , 8972, 51.3, 1647588
Java, graphchi, -1,232.273376464843750000, 203.207702636718750000,  ,  , 8964, 47.9, 1491904
Java, graphchi, -1,233.672180175781250000, 204.177673339843750000,  ,  , 8766, 49.2, 1692816
Java, graphchi, -1,223.833740234375000000, 193.919494628906250000,  ,  , 8849, 48.6, 1332652
Java, graphchi, -1,222.592163085937500000, 193.130676269531250000,  ,  , 8859, 46.8, 1462092
Java, graphchi, -1,225.143371582031250000, 195.698730468750000000,  ,  , 9192, 49.9, 1543296
Java, graphchi, -1,237.707946777343750000, 207.387878417968750000,  ,  , 9041, 53.1, 1318780
Java, graphchi, -1,222.106323242187500000, 193.038818359375000000,  ,  , 8926, 50.2, 1389856
Java, graphchi, -1,231.835571289062500000, 203.311218261718750000,  ,  , 8303, 51.0, 1472672
Java, graphchi, 5,169.256286621093750000, 84.248046875000000000,  ,  , 33480, 39.9, 1518776
Java, graphchi, 5,171.901062011718750000, 84.416931152343750000,  ,  , 34319, 39.9, 1388540
Java, graphchi, 5,164.936401367187500000, 82.688842773437500000,  ,  , 32927, 39.6, 1261612
Java, graphchi, 5,175.807983398437500000, 86.620422363281250000,  ,  , 34985, 39.2, 1422840
Java, graphchi, 5,170.396545410156250000, 85.628173828125000000,  ,  , 34102, 39.2, 1384664
Java, graphchi, 5,177.830200195312500000, 86.781677246093750000,  ,  , 35424, 39.6, 1442584
Java, graphchi, 5,165.806823730468750000, 83.655212402343750000,  ,  , 33076, 39.3, 1436032
Java, graphchi, 5,174.546203613281250000, 85.424804687500000000,  ,  , 34996, 39.2, 1262556
Java, graphchi, 5,168.053710937500000000, 84.618469238281250000,  ,  , 33698, 38.9, 1320860
Java, graphchi, 5,181.783264160156250000, 89.201293945312500000,  ,  , 36264, 38.7, 1180468
Java, graphchi, 10,154.721862792968750000, 108.193725585937500000,  ,  , 15324, 41.9, 1238228
Java, graphchi, 10,153.996032714843750000, 107.741821289062500000,  ,  , 15287, 43.3, 1358332
Java, graphchi, 10,156.047241210937500000, 108.875854492187500000,  ,  , 15499, 43.8, 1280244
Java, graphchi, 10,151.345031738281250000, 106.340942382812500000,  ,  , 14947, 41.8, 1330580
