Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, jme, -1,62.717346191406250000, 40.477416992187500000,  ,  , 7641, 43.2, 225924
Java, jme, -1,59.851562500000000000, 38.400268554687500000,  ,  , 7614, 40.9, 215484
Java, jme, -1,61.320556640625000000, 39.528076171875000000,  ,  , 7610, 41.4, 198260
Java, jme, -1,60.643005371093750000, 39.217285156250000000,  ,  , 7628, 42.2, 208696
Java, jme, -1,61.032165527343750000, 39.492126464843750000,  ,  , 7634, 43.5, 224744
Java, jme, -1,60.696411132812500000, 38.639770507812500000,  ,  , 7633, 43.5, 202084
Java, jme, -1,62.322326660156250000, 40.561645507812500000,  ,  , 7633, 44.4, 220596
Java, jme, -1,61.782287597656250000, 39.683044433593750000,  ,  , 7650, 42.6, 202132
Java, jme, -1,61.516967773437500000, 39.667358398437500000,  ,  , 7609, 41.6, 203340
Java, jme, -1,61.855957031250000000, 39.777770996093750000,  ,  , 7631, 41.3, 205520
Java, jme, 5,46.000183105468750000, 21.015258789062500000,  ,  , 9958, 40.6, 222828
Java, jme, 5,46.359863281250000000, 20.144714355468750000,  ,  , 9824, 40.0, 216272
Java, jme, 5,46.190734863281250000, 20.004943847656250000,  ,  , 9954, 41.3, 218116
Java, jme, 5,46.047973632812500000, 19.865844726562500000,  ,  , 9960, 40.6, 208860
Java, jme, 5,46.532958984375000000, 19.939208984375000000,  ,  , 9991, 41.4, 218020
Java, jme, 5,45.734741210937500000, 19.810729980468750000,  ,  , 9855, 40.6, 215092
Java, jme, 5,45.020751953125000000, 20.491577148437500000,  ,  , 9792, 41.4, 225348
Java, jme, 5,45.938110351562500000, 19.998168945312500000,  ,  , 9825, 41.2, 225708
Java, jme, 5,47.729003906250000000, 20.343322753906250000,  ,  , 10168, 41.0, 206532
Java, jme, 5,46.037658691406250000, 19.611328125000000000,  ,  , 9969, 40.3, 215260
Java, jme, 10,50.912353515625000000, 27.350402832031250000,  ,  , 8274, 44.6, 211696
Java, jme, 10,50.583923339843750000, 27.609863281250000000,  ,  , 8218, 44.2, 217508
Java, jme, 10,50.332397460937500000, 27.111755371093750000,  ,  , 8223, 43.8, 204436
Java, jme, 10,51.353332519531250000, 27.858276367187500000,  ,  , 8236, 42.1, 205768
Java, jme, 10,50.941772460937500000, 27.627441406250000000,  ,  , 8281, 42.1, 217184
Java, jme, 10,50.587280273437500000, 27.876403808593750000,  ,  , 8233, 41.4, 203384
Java, jme, 10,49.551391601562500000, 27.214355468750000000,  ,  , 8313, 42.4, 202204
Java, jme, 10,50.742492675781250000, 27.272705078125000000,  ,  , 8268, 42.6, 214736
Java, jme, 10,51.277343750000000000, 27.961853027343750000,  ,  , 8269, 43.3, 215768
Java, jme, 10,50.794250488281250000, 27.207702636718750000,  ,  , 8279, 43.4, 223264
Java, jme, 35,60.725463867187500000, 38.692565917968750000,  ,  , 7664, 42.4, 224188
Java, jme, 35,60.434570312500000000, 38.854797363281250000,  ,  , 7639, 42.1, 209484
Java, jme, 35,59.524719238281250000, 37.984558105468750000,  ,  , 7633, 40.4, 221824
Java, jme, 35,60.221313476562500000, 39.010803222656250000,  ,  , 7645, 41.1, 207240
Java, jme, 35,59.974548339843750000, 38.301208496093750000,  ,  , 7656, 42.9, 202868
Java, jme, 35,60.890319824218750000, 38.729492187500000000,  ,  , 7673, 42.1, 207732
Java, jme, 35,60.333984375000000000, 38.747253417968750000,  ,  , 7704, 41.4, 203688
Java, jme, 35,60.426025390625000000, 39.037292480468750000,  ,  , 7656, 42.1, 191176
Java, jme, 35,61.191833496093750000, 38.986938476562500000,  ,  , 7705, 43.4, 216784
Java, jme, 35,61.232482910156250000, 39.058593750000000000,  ,  , 7675, 42.9, 191520
Java, jme, 45,61.591308593750000000, 39.594726562500000000,  ,  , 7655, 42.6, 223500
Java, jme, 45,62.746582031250000000, 40.565307617187500000,  ,  , 7634, 42.4, 216592
Java, jme, 45,61.630310058593750000, 39.795471191406250000,  ,  , 7634, 41.2, 212908
Java, jme, 45,60.448791503906250000, 39.318237304687500000,  ,  , 7632, 40.6, 191424
Java, jme, 45,61.451538085937500000, 39.791198730468750000,  ,  , 7654, 42.4, 200048
Java, jme, 45,61.756652832031250000, 39.472534179687500000,  ,  , 7669, 42.8, 204300
Java, jme, 45,62.029174804687500000, 39.647094726562500000,  ,  , 7659, 43.6, 190596
Java, jme, 45,62.699096679687500000, 40.627380371093750000,  ,  , 7651, 42.2, 202268
Java, jme, 45,61.430114746093750000, 39.634826660156250000,  ,  , 7664, 41.3, 190124
Java, jme, 45,62.806457519531250000, 40.845703125000000000,  ,  , 7684, 42.4, 225296
Java, jme, 115,60.740356445312500000, 39.148803710937500000,  ,  , 7630, 42.4, 206892
Java, jme, 115,61.640136718750000000, 39.943603515625000000,  ,  , 7666, 42.4, 211324
Java, jme, 115,60.254028320312500000, 38.567565917968750000,  ,  , 7621, 40.9, 203928
Java, jme, 115,61.710998535156250000, 40.124572753906250000,  ,  , 7640, 41.6, 214048
Java, jme, 115,60.914672851562500000, 39.348022460937500000,  ,  , 7648, 41.6, 203124
Java, jme, 115,59.506408691406250000, 38.807067871093750000,  ,  , 7632, 40.9, 190252
Java, jme, 115,61.279724121093750000, 39.879089355468750000,  ,  , 7662, 43.0, 214324
Java, jme, 115,60.776611328125000000, 38.930175781250000000,  ,  , 7639, 43.1, 216372
Java, jme, 115,62.747802734375000000, 40.882141113281250000,  ,  , 7641, 43.1, 206220
Java, jme, 115,62.804748535156250000, 40.556518554687500000,  ,  , 7660, 42.6, 203388
