Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, tomcat, -1,325.979003906250000000, 285.196105957031250000,  ,  , 8929, 51.7, 629772
Java, tomcat, -1,327.626342773437500000, 286.791687011718750000,  ,  , 8944, 56.6, 695132
Java, tomcat, -1,331.078857421875000000, 290.018188476562500000,  ,  , 8943, 51.8, 616412
Java, tomcat, -1,333.114318847656250000, 291.359252929687500000,  ,  , 9028, 52.9, 703128
Java, tomcat, -1,326.638305664062500000, 285.927490234375000000,  ,  , 8945, 56.4, 651540
Java, tomcat, -1,334.245605468750000000, 292.807922363281250000,  ,  , 9012, 53.4, 655280
Java, tomcat, -1,335.236511230468750000, 293.351013183593750000,  ,  , 9081, 53.1, 696552
Java, tomcat, -1,325.636291503906250000, 284.941711425781250000,  ,  , 8990, 52.9, 657084
Java, tomcat, -1,326.194519042968750000, 285.501342773437500000,  ,  , 8929, 52.0, 698540
Java, tomcat, -1,330.676879882812500000, 290.151977539062500000,  ,  , 8980, 52.5, 655888
Java, tomcat, 5,228.553344726562500000, 116.269714355468750000,  ,  , 34290, 42.6, 930288
Java, tomcat, 5,234.731506347656250000, 118.480651855468750000,  ,  , 34948, 42.2, 937956
Java, tomcat, 5,260.924621582031250000, 129.246459960937500000,  ,  , 39929, 42.2, 878392
Java, tomcat, 5,250.631652832031250000, 124.573059082031250000,  ,  , 39933, 42.3, 937516
Java, tomcat, 5,244.937805175781250000, 123.294006347656250000,  ,  , 39607, 42.5, 896348
Java, tomcat, 5,253.948974609375000000, 127.110595703125000000,  ,  , 40421, 42.3, 955576
Java, tomcat, 5,245.136047363281250000, 123.087524414062500000,  ,  , 39534, 42.4, 928744
Java, tomcat, 5,248.454772949218750000, 123.431091308593750000,  ,  , 40050, 41.9, 921924
Java, tomcat, 5,246.294250488281250000, 123.516174316406250000,  ,  , 39923, 41.9, 915788
Java, tomcat, 5,247.344482421875000000, 123.473327636718750000,  ,  , 39746, 42.5, 872932
Java, tomcat, 10,192.865905761718750000, 118.224670410156250000,  ,  , 19128, 44.6, 861452
