Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python, 2to3, -1,481.001098632812500000, 426.402221679687500000,  ,  , 20357, 55.1, 43740
Python, 2to3, -1,483.924865722656250000, 426.592529296875000000,  ,  , 20339, 52.7, 43524
Python, 2to3, -1,482.714721679687500000, 424.232299804687500000,  ,  , 20369, 53.9, 43764
Python, 2to3, -1,483.093078613281250000, 425.227050781250000000,  ,  , 20473, 52.6, 43612
Python, 2to3, -1,481.337036132812500000, 421.676330566406250000,  ,  , 20597, 53.3, 43600
Python, 2to3, -1,483.967712402343750000, 426.691223144531250000,  ,  , 20306, 52.1, 43604
Python, 2to3, -1,481.888366699218750000, 425.087646484375000000,  ,  , 20405, 54.1, 43932
Python, 2to3, -1,480.977539062500000000, 423.642883300781250000,  ,  , 20366, 55.0, 43772
Python, 2to3, -1,485.139404296875000000, 427.685729980468750000,  ,  , 20337, 54.9, 43660
Python, 2to3, -1,482.992980957031250000, 426.720153808593750000,  ,  , 20329, 54.2, 43584
Python, 2to3, 5,275.437927246093750000, 141.942199707031250000,  ,  , 55018, 37.6, 43652
Python, 2to3, 5,276.286254882812500000, 142.043823242187500000,  ,  , 55208, 38.5, 43552
Python, 2to3, 5,277.029724121093750000, 141.879150390625000000,  ,  , 55345, 38.1, 43564
Python, 2to3, 5,278.426330566406250000, 142.041687011718750000,  ,  , 55581, 38.0, 43592
Python, 2to3, 5,275.823913574218750000, 141.775207519531250000,  ,  , 55093, 39.0, 43772
Python, 2to3, 5,275.978698730468750000, 142.038635253906250000,  ,  , 55111, 38.4, 43724
Python, 2to3, 5,277.995361328125000000, 141.289489746093750000,  ,  , 55559, 39.0, 43648
Python, 2to3, 5,276.165954589843750000, 141.638183593750000000,  ,  , 55184, 38.1, 43824
Python, 2to3, 5,276.383239746093750000, 142.064697265625000000,  ,  , 55200, 38.9, 43672
Python, 2to3, 5,276.045898437500000000, 142.326477050781250000,  ,  , 55124, 38.4, 43780
Python, 2to3, 10,308.325500488281250000, 232.018859863281250000,  ,  , 30692, 43.6, 43776
Python, 2to3, 10,311.071472167968750000, 231.272216796875000000,  ,  , 30955, 45.0, 43640
Python, 2to3, 10,311.213562011718750000, 231.285705566406250000,  ,  , 30984, 45.2, 43704
Python, 2to3, 10,310.509338378906250000, 230.909240722656250000,  ,  , 30910, 45.6, 43700
Python, 2to3, 10,311.082397460937500000, 231.516662597656250000,  ,  , 30954, 43.9, 43544
Python, 2to3, 10,310.930908203125000000, 230.895202636718750000,  ,  , 30956, 45.2, 43400
