Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python, async_tree, -1,903.856445312500000000, 754.627563476562500000,  ,  , 37105, 57.2, 102184
Python, async_tree, -1,905.149414062500000000, 756.805175781250000000,  ,  , 37158, 54.9, 102096
Python, async_tree, -1,899.526672363281250000, 751.118591308593750000,  ,  , 37181, 54.2, 102120
Python, async_tree, -1,895.199096679687500000, 747.299804687500000000,  ,  , 37182, 56.2, 102072
Python, async_tree, -1,900.505493164062500000, 752.585937500000000000,  ,  , 37193, 55.6, 102120
Python, async_tree, -1,900.929687500000000000, 752.499145507812500000,  ,  , 37100, 53.4, 102160
Python, async_tree, -1,900.046020507812500000, 750.477478027343750000,  ,  , 37235, 57.1, 102148
Python, async_tree, -1,902.984436035156250000, 753.819763183593750000,  ,  , 37279, 57.4, 102164
Python, async_tree, -1,897.180114746093750000, 748.168823242187500000,  ,  , 37344, 54.4, 102148
Python, async_tree, -1,830.759521484375000000, 584.338989257812500000,  ,  , 84875, 40.9, 102168
Python, async_tree, 5,532.207214355468750000, 214.466674804687500000,  ,  , 106417, 37.9, 102176
Python, async_tree, 5,524.993103027343750000, 215.546264648437500000,  ,  , 104959, 38.0, 102156
Python, async_tree, 5,520.804992675781250000, 214.802246093750000000,  ,  , 104139, 38.0, 102136
Python, async_tree, 5,527.632995605468750000, 213.956726074218750000,  ,  , 105498, 37.6, 102184
Python, async_tree, 5,526.726562500000000000, 214.245605468750000000,  ,  , 105309, 37.8, 102140
Python, async_tree, 5,525.182739257812500000, 214.328491210937500000,  ,  , 105026, 37.0, 102172
Python, async_tree, 5,533.007690429687500000, 214.202026367187500000,  ,  , 106577, 37.9, 102332
Python, async_tree, 5,522.204589843750000000, 214.271667480468750000,  ,  , 104414, 37.4, 102140
Python, async_tree, 5,524.158874511718750000, 214.647583007812500000,  ,  , 104799, 37.4, 102172
Python, async_tree, 5,523.439575195312500000, 214.118774414062500000,  ,  , 104666, 37.4, 102140
Python, async_tree, 10,558.883239746093750000, 365.132324218750000000,  ,  , 55833, 44.3, 102168
Python, async_tree, 10,559.685058593750000000, 367.826721191406250000,  ,  , 55842, 45.8, 102068
Python, async_tree, 10,554.865844726562500000, 365.045715332031250000,  ,  , 55346, 45.7, 102164
Python, async_tree, 10,556.277648925781250000, 364.487548828125000000,  ,  , 55465, 44.1, 102136
Python, async_tree, 10,559.338195800781250000, 365.835693359375000000,  ,  , 55887, 44.6, 102160
Python, async_tree, 10,558.747131347656250000, 365.616821289062500000,  ,  , 55738, 41.1, 102144
Python, async_tree, 10,556.005676269531250000, 364.772827148437500000,  ,  , 55601, 42.8, 102288
Python, async_tree, 10,558.805969238281250000, 365.889648437500000000,  ,  , 55824, 45.1, 102172
Python, async_tree, 10,553.609252929687500000, 364.184509277343750000,  ,  , 55281, 44.1, 102124
Python, async_tree, 10,557.381591796875000000, 366.845153808593750000,  ,  , 55586, 41.6, 102164
Python, async_tree, 35,896.682739257812500000, 748.757385253906250000,  ,  , 37521, 55.6, 102164
Python, async_tree, 35,896.102294921875000000, 745.958251953125000000,  ,  , 37434, 57.6, 102188
Python, async_tree, 35,898.694396972656250000, 748.624694824218750000,  ,  , 37433, 55.5, 102168
Python, async_tree, 35,910.799682617187500000, 756.743652343750000000,  ,  , 37838, 54.6, 102176
