Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python, django_template, -1,227.692993164062500000, 184.020935058593750000,  ,  , 18223, 47.1, 43888
Python, django_template, -1,318.794982910156250000, 285.086425781250000000,  ,  , 14236, 52.3, 43844
Python, django_template, -1,319.449890136718750000, 283.869934082031250000,  ,  , 14099, 54.1, 43924
Python, django_template, -1,320.111267089843750000, 284.232116699218750000,  ,  , 14276, 50.6, 44000
Python, django_template, -1,320.574462890625000000, 287.111267089843750000,  ,  , 14080, 54.9, 43752
Python, django_template, -1,322.825256347656250000, 287.733764648437500000,  ,  , 14073, 53.9, 44072
Python, django_template, -1,320.958740234375000000, 286.256103515625000000,  ,  , 14113, 52.8, 43712
Python, django_template, -1,319.324157714843750000, 286.051147460937500000,  ,  , 14047, 54.9, 43780
Python, django_template, -1,321.510375976562500000, 286.384460449218750000,  ,  , 14034, 52.4, 43864
Python, django_template, -1,320.558959960937500000, 286.332458496093750000,  ,  , 13967, 51.9, 43952
Python, django_template, 5,119.750732421875000000, 63.453613281250000000,  ,  , 23914, 38.1, 43864
Python, django_template, 5,119.895751953125000000, 63.380859375000000000,  ,  , 23941, 37.9, 43548
Python, django_template, 5,119.688537597656250000, 63.563720703125000000,  ,  , 24001, 37.3, 43936
Python, django_template, 5,115.263610839843750000, 63.774597167968750000,  ,  , 23139, 37.9, 43836
Python, django_template, 5,120.691040039062500000, 63.590087890625000000,  ,  , 24203, 37.4, 44084
Python, django_template, 5,120.049560546875000000, 63.550537109375000000,  ,  , 23998, 37.3, 43920
Python, django_template, 5,115.402465820312500000, 63.733764648437500000,  ,  , 23070, 37.9, 43656
Python, django_template, 5,120.119201660156250000, 63.673217773437500000,  ,  , 23983, 38.1, 43652
Python, django_template, 5,118.383239746093750000, 63.093078613281250000,  ,  , 23636, 37.6, 44076
Python, django_template, 5,115.333801269531250000, 63.918762207031250000,  ,  , 23054, 37.8, 43940
Python, django_template, 10,210.009948730468750000, 161.016174316406250000,  ,  , 20870, 44.6, 43932
Python, django_template, 10,208.112060546875000000, 159.246948242187500000,  ,  , 20677, 43.3, 43952
Python, django_template, 10,208.641723632812500000, 160.007995605468750000,  ,  , 20765, 45.0, 44084
Python, django_template, 10,207.877807617187500000, 160.800109863281250000,  ,  , 20740, 46.5, 43892
Python, django_template, 10,210.652526855468750000, 161.468322753906250000,  ,  , 20917, 41.9, 43920
Python, django_template, 10,208.841491699218750000, 159.967590332031250000,  ,  , 20806, 45.1, 44080
Python, django_template, 10,209.511413574218750000, 160.548950195312500000,  ,  , 20813, 46.1, 43944
Python, django_template, 10,209.618164062500000000, 161.131591796875000000,  ,  , 20809, 42.6, 43824
Python, django_template, 10,207.658203125000000000, 159.366882324218750000,  ,  , 20680, 43.4, 43924
Python, django_template, 10,209.447570800781250000, 160.212280273437500000,  ,  , 20869, 45.1, 44092
Python, django_template, 35,315.450866699218750000, 280.533630371093750000,  ,  , 14170, 55.1, 43944
Python, django_template, 35,318.513122558593750000, 283.058410644531250000,  ,  , 14233, 52.5, 44092
Python, django_template, 35,317.006347656250000000, 282.466186523437500000,  ,  , 14040, 52.6, 44100
Python, django_template, 35,314.048522949218750000, 280.172302246093750000,  ,  , 14242, 53.6, 44264
Python, django_template, 35,317.042541503906250000, 282.083740234375000000,  ,  , 14079, 55.5, 43952
Python, django_template, 35,317.138977050781250000, 282.243408203125000000,  ,  , 14120, 50.9, 43604
Python, django_template, 35,316.278991699218750000, 281.100891113281250000,  ,  , 14121, 52.9, 43792
Python, django_template, 35,316.972595214843750000, 281.574890136718750000,  ,  , 14182, 52.9, 44088
Python, django_template, 35,317.152404785156250000, 282.412292480468750000,  ,  , 14282, 51.9, 44036
Python, django_template, 35,317.538635253906250000, 282.493469238281250000,  ,  , 14234, 55.0, 43968
Python, django_template, 45,320.260864257812500000, 285.014221191406250000,  ,  , 14112, 53.6, 43956
Python, django_template, 45,317.213500976562500000, 281.562622070312500000,  ,  , 14231, 52.4, 44108
Python, django_template, 45,316.336364746093750000, 281.073242187500000000,  ,  , 14182, 51.5, 44108
Python, django_template, 45,315.657775878906250000, 282.062377929687500000,  ,  , 14116, 54.9, 43844
Python, django_template, 45,317.554870605468750000, 282.252319335937500000,  ,  , 14176, 53.3, 43884
Python, django_template, 45,316.161926269531250000, 280.384094238281250000,  ,  , 14220, 54.9, 43808
Python, django_template, 45,313.541748046875000000, 279.715209960937500000,  ,  , 14247, 54.6, 44068
Python, django_template, 45,315.350952148437500000, 280.451293945312500000,  ,  , 14115, 54.3, 43644
Python, django_template, 45,317.331848144531250000, 282.129638671875000000,  ,  , 14146, 52.7, 43928
Python, django_template, 45,314.698364257812500000, 279.578063964843750000,  ,  , 14139, 55.1, 43924
Python, django_template, 115,313.894409179687500000, 278.803222656250000000,  ,  , 14310, 53.0, 43928
Python, django_template, 115,313.285461425781250000, 278.123962402343750000,  ,  , 14276, 54.6, 44084
Python, django_template, 115,313.331481933593750000, 278.047729492187500000,  ,  , 14223, 54.8, 43824
Python, django_template, 115,310.141235351562500000, 276.576049804687500000,  ,  , 14164, 52.5, 43500
Python, django_template, 115,316.616882324218750000, 281.226196289062500000,  ,  , 14209, 53.6, 43944
Python, django_template, 115,314.913574218750000000, 279.386657714843750000,  ,  , 14272, 52.0, 43924
Python, django_template, 115,315.168273925781250000, 280.449279785156250000,  ,  , 14121, 54.7, 43952
Python, django_template, 115,315.853210449218750000, 280.344604492187500000,  ,  , 14268, 52.9, 44072
Python, django_template, 115,310.856140136718750000, 277.605285644531250000,  ,  , 14268, 52.9, 43952
Python, django_template, 115,313.788757324218750000, 278.433532714843750000,  ,  , 14233, 55.1, 43856
