Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python, docutils, -1,3804.868530273437500000, 3331.643920898437500000,  ,  , 168003, 54.0, 71132
Python, docutils, -1,3699.844970703125000000, 3234.697143554687500000,  ,  , 169715, 55.9, 71200
Python, docutils, -1,3727.348388671875000000, 3267.562866210937500000,  ,  , 168683, 56.1, 71384
Python, docutils, -1,3699.235412597656250000, 3233.760864257812500000,  ,  , 169535, 58.1, 71556
Python, docutils, -1,3255.611755371093750000, 2659.616271972656250000,  ,  , 231412, 53.6, 71476
Python, docutils, -1,3665.111511230468750000, 3200.608337402343750000,  ,  , 169900, 55.9, 71180
Python, docutils, -1,3674.972412109375000000, 3211.180053710937500000,  ,  , 170127, 57.4, 71440
Python, docutils, -1,3338.286560058593750000, 2823.454406738281250000,  ,  , 193807, 46.2, 71492
Python, docutils, -1,3513.277404785156250000, 3043.919250488281250000,  ,  , 171758, 56.6, 71272
Python, docutils, -1,3594.810363769531250000, 3122.969421386718750000,  ,  , 172858, 56.0, 71292
Python, docutils, 5,2161.362976074218750000, 1138.673339843750000000,  ,  , 432200, 38.9, 71496
Python, docutils, 5,2153.404357910156250000, 1137.069030761718750000,  ,  , 430560, 38.6, 71348
Python, docutils, 5,2141.434143066406250000, 1142.261230468750000000,  ,  , 428188, 38.3, 71180
Python, docutils, 5,2153.535583496093750000, 1141.438049316406250000,  ,  , 430651, 38.4, 71500
Python, docutils, 5,2162.781066894531250000, 1143.080200195312500000,  ,  , 432469, 38.8, 71184
Python, docutils, 5,2153.765014648437500000, 1143.633850097656250000,  ,  , 430655, 38.6, 71516
Python, docutils, 5,2134.946350097656250000, 1144.657165527343750000,  ,  , 426906, 38.2, 71332
Python, docutils, 5,2129.911682128906250000, 1145.815612792968750000,  ,  , 425883, 38.4, 71540
Python, docutils, 5,2141.710021972656250000, 1143.544555664062500000,  ,  , 428275, 38.5, 71188
Python, docutils, 5,2134.844543457031250000, 1145.726440429687500000,  ,  , 426891, 38.7, 71344
Python, docutils, 10,2458.176879882812500000, 1845.587951660156250000,  ,  , 245700, 42.4, 71604
Python, docutils, 10,2463.071960449218750000, 1849.320800781250000000,  ,  , 246270, 42.9, 71424
Python, docutils, 10,2467.162597656250000000, 1847.731018066406250000,  ,  , 246686, 43.1, 71032
Python, docutils, 10,2473.168762207031250000, 1848.050781250000000000,  ,  , 247135, 43.1, 71540
Python, docutils, 10,2461.583618164062500000, 1845.303588867187500000,  ,  , 246129, 44.0, 71236
Python, docutils, 10,2461.901123046875000000, 1842.427917480468750000,  ,  , 246218, 45.6, 71516
Python, docutils, 10,2470.415283203125000000, 1850.420043945312500000,  ,  , 246904, 44.2, 71204
Python, docutils, 10,2459.623168945312500000, 1852.183593750000000000,  ,  , 245800, 41.9, 71304
Python, docutils, 10,2467.365966796875000000, 1847.000488281250000000,  ,  , 246570, 43.8, 71416
Python, docutils, 10,2468.830627441406250000, 1847.577941894531250000,  ,  , 246656, 44.1, 71436
Python, docutils, 35,3665.829650878906250000, 3210.299865722656250000,  ,  , 170143, 57.0, 71124
Python, docutils, 35,3591.966247558593750000, 3128.914733886718750000,  ,  , 171678, 54.9, 71544
