Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python, json_dumps, -1,293.728576660156250000, 261.958129882812500000,  ,  , 12779, 51.6, 43528
Python, json_dumps, -1,290.899963378906250000, 261.446655273437500000,  ,  , 12731, 51.4, 43776
Python, json_dumps, -1,291.986755371093750000, 260.369934082031250000,  ,  , 12786, 54.4, 43852
Python, json_dumps, -1,296.048461914062500000, 264.331298828125000000,  ,  , 12729, 54.1, 43772
Python, json_dumps, -1,293.067016601562500000, 261.266906738281250000,  ,  , 12823, 53.0, 43740
Python, json_dumps, -1,294.436889648437500000, 262.627197265625000000,  ,  , 12764, 54.8, 43772
Python, json_dumps, -1,288.522766113281250000, 258.411621093750000000,  ,  , 12873, 51.0, 43728
Python, json_dumps, -1,294.267639160156250000, 262.808532714843750000,  ,  , 12776, 51.9, 43804
Python, json_dumps, -1,291.622985839843750000, 259.740417480468750000,  ,  , 12863, 49.1, 43584
Python, json_dumps, -1,292.601379394531250000, 260.661193847656250000,  ,  , 12927, 52.6, 43568
Python, json_dumps, 5,96.271545410156250000, 52.583007812500000000,  ,  , 19249, 38.6, 43612
Python, json_dumps, 5,99.920227050781250000, 51.574035644531250000,  ,  , 19926, 37.8, 43704
Python, json_dumps, 5,98.638366699218750000, 52.076782226562500000,  ,  , 19733, 38.6, 43756
Python, json_dumps, 5,96.658020019531250000, 52.096679687500000000,  ,  , 19348, 39.0, 43600
Python, json_dumps, 5,98.546447753906250000, 51.830505371093750000,  ,  , 19692, 39.0, 43764
Python, json_dumps, 5,98.462768554687500000, 51.926635742187500000,  ,  , 19681, 37.9, 43632
Python, json_dumps, 5,96.389221191406250000, 51.926818847656250000,  ,  , 19305, 39.5, 43772
Python, json_dumps, 5,98.734558105468750000, 51.903686523437500000,  ,  , 19717, 38.9, 43836
Python, json_dumps, 5,98.544494628906250000, 52.194396972656250000,  ,  , 19673, 38.2, 43932
Python, json_dumps, 5,96.617675781250000000, 52.494873046875000000,  ,  , 19320, 38.9, 43772
Python, json_dumps, 10,194.364074707031250000, 149.310241699218750000,  ,  , 19308, 45.1, 43628
Python, json_dumps, 10,192.041259765625000000, 146.599487304687500000,  ,  , 19059, 44.5, 43708
Python, json_dumps, 10,193.985107421875000000, 148.537170410156250000,  ,  , 19266, 45.3, 43924
Python, json_dumps, 10,194.500183105468750000, 149.129150390625000000,  ,  , 19320, 43.3, 43512
Python, json_dumps, 10,193.704406738281250000, 149.459228515625000000,  ,  , 19239, 45.8, 43700
Python, json_dumps, 10,194.198669433593750000, 149.082275390625000000,  ,  , 19282, 43.9, 43608
Python, json_dumps, 10,193.419738769531250000, 148.282897949218750000,  ,  , 19233, 45.4, 43700
Python, json_dumps, 10,194.502014160156250000, 149.485595703125000000,  ,  , 19312, 44.4, 43448
Python, json_dumps, 10,193.981323242187500000, 148.200744628906250000,  ,  , 19265, 44.0, 43516
Python, json_dumps, 10,191.405822753906250000, 149.227355957031250000,  ,  , 19014, 44.4, 43372
Python, json_dumps, 35,291.474487304687500000, 259.734802246093750000,  ,  , 12989, 49.9, 43508
Python, json_dumps, 35,290.537658691406250000, 258.828613281250000000,  ,  , 12913, 54.9, 43628
Python, json_dumps, 35,287.989013671875000000, 256.178527832031250000,  ,  , 12826, 49.9, 43516
Python, json_dumps, 35,289.281066894531250000, 258.815368652343750000,  ,  , 12791, 50.7, 43940
Python, json_dumps, 35,294.654541015625000000, 263.251159667968750000,  ,  , 12774, 53.6, 43824
Python, json_dumps, 35,298.401855468750000000, 267.203369140625000000,  ,  , 12752, 54.1, 43452
Python, json_dumps, 35,289.604492187500000000, 257.815063476562500000,  ,  , 12777, 54.3, 43484
Python, json_dumps, 35,288.844543457031250000, 257.283203125000000000,  ,  , 12850, 51.4, 43408
Python, json_dumps, 35,291.991760253906250000, 262.254638671875000000,  ,  , 12776, 49.0, 43768
Python, json_dumps, 35,294.312866210937500000, 263.018554687500000000,  ,  , 12809, 54.9, 43772
Python, json_dumps, 45,288.286437988281250000, 256.925415039062500000,  ,  , 12793, 54.2, 43468
Python, json_dumps, 45,291.215881347656250000, 259.764709472656250000,  ,  , 12883, 54.6, 43676
Python, json_dumps, 45,287.905456542968750000, 256.138671875000000000,  ,  , 12972, 54.0, 43624
Python, json_dumps, 45,292.213806152343750000, 262.158264160156250000,  ,  , 12900, 52.5, 43816
Python, json_dumps, 45,292.142089843750000000, 261.336975097656250000,  ,  , 12777, 52.8, 43788
Python, json_dumps, 45,290.848449707031250000, 259.289123535156250000,  ,  , 12855, 54.1, 43848
Python, json_dumps, 45,289.050354003906250000, 257.889282226562500000,  ,  , 12841, 51.3, 43928
