Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python, pidigits, -1,289.190979003906250000, 258.254577636718750000,  ,  , 13347, 50.1, 43448
Python, pidigits, -1,290.837402343750000000, 258.422119140625000000,  ,  , 13331, 52.1, 43764
Python, pidigits, -1,292.368164062500000000, 259.984252929687500000,  ,  , 13378, 50.3, 43732
Python, pidigits, -1,292.954772949218750000, 260.572143554687500000,  ,  , 13351, 51.1, 43932
Python, pidigits, -1,292.498901367187500000, 259.955444335937500000,  ,  , 13383, 52.4, 43540
Python, pidigits, -1,292.172973632812500000, 260.704772949218750000,  ,  , 13312, 52.6, 44080
Python, pidigits, -1,292.318237304687500000, 260.415649414062500000,  ,  , 13381, 50.6, 43500
Python, pidigits, -1,292.065246582031250000, 260.039794921875000000,  ,  , 13348, 50.4, 43840
Python, pidigits, -1,292.482666015625000000, 260.237182617187500000,  ,  , 13352, 51.9, 43812
Python, pidigits, -1,293.731567382812500000, 261.013916015625000000,  ,  , 13365, 51.7, 43488
Python, pidigits, 5,166.960693359375000000, 94.041137695312500000,  ,  , 33394, 39.4, 43584
Python, pidigits, 5,171.116638183593750000, 93.171142578125000000,  ,  , 34187, 38.7, 43544
Python, pidigits, 5,165.971313476562500000, 93.452697753906250000,  ,  , 33179, 38.1, 43396
Python, pidigits, 5,168.150939941406250000, 92.232788085937500000,  ,  , 33617, 38.9, 43712
Python, pidigits, 5,167.120300292968750000, 93.697509765625000000,  ,  , 33430, 38.6, 43412
Python, pidigits, 5,167.885437011718750000, 92.570617675781250000,  ,  , 33571, 38.4, 43652
Python, pidigits, 5,166.609619140625000000, 93.910461425781250000,  ,  , 33321, 38.7, 43680
Python, pidigits, 5,167.693664550781250000, 92.738220214843750000,  ,  , 33517, 38.8, 43608
Python, pidigits, 5,166.451293945312500000, 93.404602050781250000,  ,  , 33306, 38.4, 43540
Python, pidigits, 5,167.894592285156250000, 92.748840332031250000,  ,  , 33579, 38.3, 43928
Python, pidigits, 10,195.200317382812500000, 151.114196777343750000,  ,  , 19412, 44.3, 43928
Python, pidigits, 10,195.732727050781250000, 150.752807617187500000,  ,  , 19448, 45.1, 43772
Python, pidigits, 10,195.560974121093750000, 150.625793457031250000,  ,  , 19440, 44.9, 43744
Python, pidigits, 10,195.958740234375000000, 150.946044921875000000,  ,  , 19460, 45.9, 43732
Python, pidigits, 10,193.685974121093750000, 151.354675292968750000,  ,  , 19250, 45.7, 43924
Python, pidigits, 10,196.255737304687500000, 150.943603515625000000,  ,  , 19499, 44.4, 43684
Python, pidigits, 10,195.843505859375000000, 150.752624511718750000,  ,  , 19445, 44.5, 43808
Python, pidigits, 10,195.810852050781250000, 150.288330078125000000,  ,  , 19463, 43.9, 43932
Python, pidigits, 10,194.678833007812500000, 151.149414062500000000,  ,  , 19338, 45.3, 43424
Python, pidigits, 10,195.946166992187500000, 151.231567382812500000,  ,  , 19455, 43.9, 43824
Python, pidigits, 35,293.290405273437500000, 261.082153320312500000,  ,  , 13353, 50.3, 43608
Python, pidigits, 35,293.777893066406250000, 261.987304687500000000,  ,  , 13336, 48.1, 43760
Python, pidigits, 35,291.963562011718750000, 260.304748535156250000,  ,  , 13352, 52.4, 43628
Python, pidigits, 35,293.206176757812500000, 261.191955566406250000,  ,  , 13371, 50.9, 43932
Python, pidigits, 35,293.287719726562500000, 260.937927246093750000,  ,  , 13334, 47.9, 43776
Python, pidigits, 35,293.828247070312500000, 261.343505859375000000,  ,  , 13355, 49.1, 43840
Python, pidigits, 35,293.973144531250000000, 261.540832519531250000,  ,  , 13389, 49.8, 43496
Python, pidigits, 35,291.315551757812500000, 260.037658691406250000,  ,  , 13357, 52.3, 43924
Python, pidigits, 35,291.701904296875000000, 259.469055175781250000,  ,  , 13357, 49.6, 43604
Python, pidigits, 35,292.420349121093750000, 260.255249023437500000,  ,  , 13407, 51.4, 43500
Python, pidigits, 45,199.012145996093750000, 142.563110351562500000,  ,  , 25254, 40.6, 43584
Python, pidigits, 45,192.535644531250000000, 145.935913085937500000,  ,  , 20479, 44.9, 43744
Python, pidigits, 45,258.593811035156250000, 224.147827148437500000,  ,  , 14716, 49.4, 43624
Python, pidigits, 45,292.743225097656250000, 261.378356933593750000,  ,  , 13369, 50.4, 43764
Python, pidigits, 45,291.785278320312500000, 260.333801269531250000,  ,  , 13385, 49.9, 43772
Python, pidigits, 45,291.792175292968750000, 260.490295410156250000,  ,  , 13361, 49.6, 43772
Python, pidigits, 45,293.498291015625000000, 262.160888671875000000,  ,  , 13353, 52.6, 43624
Python, pidigits, 45,292.308898925781250000, 260.453247070312500000,  ,  , 13357, 48.1, 43768
Python, pidigits, 45,289.831787109375000000, 260.228027343750000000,  ,  , 13383, 52.8, 43520
Python, pidigits, 45,276.942382812500000000, 243.807678222656250000,  ,  , 14163, 43.4, 43724
Python, pidigits, 115,290.882080078125000000, 260.431884765625000000,  ,  , 13340, 49.4, 43744
Python, pidigits, 115,293.917785644531250000, 261.830932617187500000,  ,  , 13403, 49.1, 43932
Python, pidigits, 115,293.405944824218750000, 261.633178710937500000,  ,  , 13357, 50.8, 43604
Python, pidigits, 115,292.437255859375000000, 260.782592773437500000,  ,  , 13407, 51.4, 43620
Python, pidigits, 115,292.660400390625000000, 261.291870117187500000,  ,  , 13386, 52.1, 43880
Python, pidigits, 115,290.997009277343750000, 260.220153808593750000,  ,  , 13386, 52.2, 43604
Python, pidigits, 115,291.410949707031250000, 259.773315429687500000,  ,  , 13379, 50.7, 43548
Python, pidigits, 115,293.482055664062500000, 261.944396972656250000,  ,  , 13348, 51.6, 43764
Python, pidigits, 115,293.007995605468750000, 261.182739257812500000,  ,  , 13425, 53.0, 43768
Python, pidigits, 115,242.242126464843750000, 202.763916015625000000,  ,  , 16916, 43.0, 43920
